metric_id,level,priority,requires_identity,metric_name,reference,doi,supporting_references
D-1,diagnostic,diagnostic,false,Tracking Coverage,Tracking-pipeline convention (fraction of frames with a successfully assigned position); no single originating work,,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai) (DOI: 10.1038/s41592-018-0295-5)"
D-2,diagnostic,diagnostic,false,Tracking Accuracy,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai)",10.1038/s41592-018-0295-5,"Bernardin & Stiefelhagen 2008, EURASIP J. Image Video Process. 2008:246309 (evaluating multiple object tracking performance: the CLEAR MOT metrics) (DOI: 10.1155/2008/246309)"
D-3,diagnostic,diagnostic,true,ID-Probability Distribution,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai)",10.1038/s41592-018-0295-5,
D-4,diagnostic,diagnostic,false,Inconsistent-Frame Count,Track2Data's own bounding-box post-processing pipeline; no external work defines this counter,,
D-5,diagnostic,diagnostic,false,Identity Stability Flag,"Track2Data engineering threshold on idtracker.ai's own fraction_identified (PRD §5.2, FR-IMP-3); not an external scientific result",,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai) (DOI: 10.1038/s41592-018-0295-5)"
D-6,diagnostic,diagnostic,false,Segmentation Error Frames,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai)",10.1038/s41592-018-0295-5,
D-7,diagnostic,diagnostic,false,Fragment Length Distribution,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai)",10.1038/s41592-018-0295-5,
D-8,diagnostic,diagnostic,false,Crossing Rate,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai)",10.1038/s41592-018-0295-5,
D-9,diagnostic,diagnostic,false,Identity Swap Opportunity Count,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai)",10.1038/s41592-018-0295-5,"Bernardin & Stiefelhagen 2008, EURASIP J. Image Video Process. 2008:246309 (evaluating multiple object tracking performance: the CLEAR MOT metrics) (DOI: 10.1155/2008/246309)"
D-10,diagnostic,diagnostic,false,Physical-Plausibility Violation Rate,"Bjorneraas et al. 2010, J. Wildl. Manage. 74(6):1361-1366 (screening GPS location data for errors using animal movement characteristics)",10.2193/2009-405,"Romero-Ferrero et al. 2019, Nat. Methods 16:179-182 (idtracker.ai) (DOI: 10.1038/s41592-018-0295-5)"
GL-1,group,primary,false,Nearest-Neighbour Distance,"Clark & Evans 1954, Ecology 35(4):445-453 (distance to nearest neighbor as a measure of spatial relationships in populations)",10.2307/1931034,"Pitcher 1973, Anim. Behav. 21(4):673-686 (the three-dimensional structure of schools in the minnow, Phoxinus phoxinus) (DOI: 10.1016/S0003-3472(73)80091-0); Krause & Ruxton 2002, Living in Groups (Oxford University Press) (DOI: 10.1093/oso/9780198508175.001.0001)"
GL-2,group,primary,false,Inter-Individual Distance,"Krause & Ruxton 2002, Living in Groups (Oxford University Press)",10.1093/oso/9780198508175.001.0001,"Miller & Gerlai 2007, Behav. Brain Res. 184(2):157-166 (quantification of shoaling behaviour in zebrafish) (DOI: 10.1016/j.bbr.2007.07.007); Delcourt & Poncin 2012, Rev. Fish Biol. Fish. 22(3):595-619 (shoals and schools: back to the heuristic definitions and quantitative references) (DOI: 10.1007/s11160-012-9260-z)"
GL-3,group,primary,true,Polarisation,"Vicsek et al. 1995, Phys. Rev. Lett. 75(6):1226-1229 (novel type of phase transition in a system of self-driven particles -- origin of the polar order parameter)",10.1103/PhysRevLett.75.1226,"Couzin et al. 2002, J. Theor. Biol. 218(1):1-11 (collective memory and spatial sorting in animal groups) (DOI: 10.1006/jtbi.2002.3065); Tunstrom et al. 2013, PLoS Comput. Biol. 9(2):e1002915 (collective states, multistability and transitional behavior in schooling fish) (DOI: 10.1371/journal.pcbi.1002915)"
GL-4,group,primary,false,Convex Hull Area,"Mohr 1947, Am. Midl. Nat. 37(1):223-249 (table of equivalent populations of North American small mammals -- origin of the minimum convex polygon)",10.2307/2421652,"Krause & Ruxton 2002, Living in Groups (Oxford University Press) (DOI: 10.1093/oso/9780198508175.001.0001)"
GL-5,group,primary,false,Centroid Speed,Standard kinematics applied to the group centroid; no single originating work,,"Tunstrom et al. 2013, PLoS Comput. Biol. 9(2):e1002915 (collective states, multistability and transitional behavior in schooling fish) (DOI: 10.1371/journal.pcbi.1002915)"
